Compound	Class	3cP	4cvCH	6cvCH	ncof	ncoi	noxy	1k	1ka	Shal	S(5)	S(7)	S(16)	S(17)	S(20)	S(26)	S(27)	S(30)	S(31)	S(36)	S(37)	S(56)	S(60)	eb	q+	q-	m	A	Svnc
Anakinra	-1	12.0993	0.0745	0.0559	0	0	7	28.5694	25.6787	0	0	0	5.002	3.5921	1.3959	0.2766	0	5.6545	0	0	0	1.295	0	0.1324	0.2729	0.3944	2.6005	0.4456	201.7874
Bethanechol	-1	1.8346	0	0	0	0	2	11	10.39	0	0	0	7.9135	0	0	0	0	0	0	0	0	0	0	0.0583	0.2616	0.4315	2.3579	-1.4712	65.3163
Ethchlorvynol	-1	2.5607	0	0	0	0	1	9	8.55	5.2073	0	5.5743	1.7884	0	2.609	0	0	0	0	0	0	0	5.2073	0.1465	0.2261	0.328	1.0986	-0.4229	100.2458
Haloprogin	-1	4.3727	0	0.0208	0	1	1	12.0714	12.4097	19.3285	0	0	0	0	0	1.729	0	0	0	0	0	0	17.3989	0.1391	0.1686	0.3131	1.5413	0.6227	69.881
Nalidixic_acid	-1	6.1291	0	0.0348	0	0	3	13.4321	11.3194	0	0	0	3.703	0	1.3467	1.6685	0	0	0	0	1.6738	0	0	0.1352	0.2538	0.3384	6.2675	0.5386	106.4814
Orlistat	-1	9.6974	0.068	0	0	0	5	33.0286	31.7596	0	0	0	8.4517	0	0	0	0	0	0	0	0	0	0	0.1492	0.2582	0.3775	1.6689	-0.5277	202.7552
Ethambutol	-1	3.7841	0	0	0	0	2	14	13.84	0	5.7258	0	4.091	0	0	0	0	0	6.457	0	0	0	0	0.1374	0.2043	0.3509	0.4515	-2.9824	93.4252
Ampicillin	-1	9.0588	0.0745	0.0321	0	0	4	18.7811	16.9404	0	0	0	3.5767	0	0	0.6541	0	0	0	0	0	1.3841	0	0.1351	0.2572	0.3674	3.9103	-0.0137	152.8538
Acetohydroxamic_acid	-1	0.8165	0	0	0	0	2	5	4.43	0	0	0	1.2222	0	0	0	0	0	0	0	0	0	0	0.143	0.2298	0.348	5.1635	-1.2039	41.9778
Dienestrol	-1	6.8248	0	0.0556	0	0	2	16.3719	14.2534	0	0	0	3.9843	0	4.1003	2.6154	0	0	0	0	0	0	0	0.1328	0.2253	0.2601	2.281	-0.3205	152.4212
Desmopressin	-1	23.475	0	0.0599	0	0	12	66.5114	59.1053	0	0	0	0	0	0	1.0839	0	12.7373	0	0	0	2.1845	0	0.1311	0.2644	0.4708	6.2211	2.3311	422.0163
Amiloride	-1	4.6639	0	0.0125	0	0	1	13.0667	10.9875	5.5473	0	0	0	0	0	-0.6329	0	22.4823	0	0	0	0	5.5473	0.1322	0.2765	0.4696	3.7689	0.3011	82.4114
Oxytetracycline	-1	13.8766	0	0.087	0	0	9	26.0741	23.3903	0	0	0	4.1067	0	0	-0.9104	0	0	0	1.2926	0	0	0	0.1372	0.3024	0.4353	2.5989	0.6839	182.3454
Lovastatin	-1	10.1913	0	0.1054	0	0	5	23.6587	22.3867	0	0	0	8.3255	0	6.7721	0	0	0	0	0	0	0	0	0.1332	0.2108	0.3553	5.1221	-0.427	167.3317
Lactulose	-1	9.2582	0	0.0262	0	0	11	19.3264	18.8924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145	0.2264	0.3402	4.4567	-1.745	138.7102
Fluocinolone_acetonide	-1	13.5005	0	0.0875	2	0	6	22.2031	20.7791	31.9517	0	0	2.9249	0	3.5408	0	0	0	0	0	0	0	0	0.1447	0.2178	0.3372	11.2642	0.3476	178.9921
Cefpodoxime	-1	9.9534	0.0745	0.0559	0	0	6	22.68	20.3859	0	0	0	2.7258	0	0	0.4699	0	5.5868	0	0	0	1.3455	0	0.1315	0.2691	0.3975	2.6833	0.4261	166.2381
Cinchocaine	-1	8.1328	0	0.0439	0	0	2	21.3018	19.3461	0	0	0	6.3702	0	0	1.1367	1.6353	0	0	2.282	0	0	0	0.1329	0.234	0.3761	3.3717	0.8715	163.9403
Lomustine	-1	4.4184	0	0.1021	0	0	2	13.0667	12.2306	5.4413	0	0	0	0	0	0	0	0	0	0	0.8349	0	5.4413	0.1471	0.237	0.4197	3.4931	0.9696	110.0988
Anastrozole	-1	7.979	0	0.0241	0	0	0	18.3403	15.7236	0	0	0	7.5188	0	3.1393	2.8209	0	0	0	0	1.7239	0	0	0.1452	0.2153	0.2053	5.4005	0.4199	177.8842
Diclofenamide	-1	5.0641	0	0.0208	0	0	4	14.0625	13.1065	11.1323	0	0	0	0	0	-1.6894	0	9.6549	0	0	0	0	11.1323	0.1514	0.2107	0.8954	3.9442	2.086	85.2861
Demeclocycline	-1	13.4875	0	0.092	0	0	8	25.1037	22.7432	6.1736	0	0	3.0251	0	0	-0.8805	0	0	0	1.4191	0	0	6.1736	0.1386	0.3013	0.4363	4.2404	0.7904	197.5483
Cefixime	-1	10.5152	0.0745	0.0559	0	0	7	24.6387	21.6051	0	0	0	0	3.5629	1.378	0.1861	0	5.5642	0	0	0	1.2696	0	0.1325	0.2769	0.395	4.1917	0.4051	189.1916
Cromoglicic_acid	-1	12.2973	0	0.0776	0	0	11	27.046	23.4772	0	0	0	0	0	1.6645	0.2076	0	0	0	0	0	0	0	0.1378	0.2572	0.3498	7.9622	1.043	219.7912
Oxycodone	-1	10.7343	0	0.1147	0	0	4	15.2702	14.1052	0	0	0	3.6961	0	0	3.5905	0	0	0	2.2532	0	0	0	0.1308	0.1962	0.3254	3.8038	-0.1277	119.8821
Miglitol	-1	4.8132	0	0.0351	0	0	5	12.0714	11.8327	0	0	0	0	0	0	0	0	0	0	1.5576	0	0	0	0.1357	0.2083	0.3553	2.9168	-2.4516	87.565
Octreotide	1	24.1968	0	0.0919	0	0	10	61.8489	55.9112	0	0	0	2.6048	0	1.7034	2.9621	0	0	0	0	0	2.0588	0	0.1327	0.2687	0.4251	14.7383	2.9072	437.3381
Dobutamine	1	7.2192	0	0.0518	0	0	3	18.3403	16.6471	0	3.7532	0	2.1475	0	0	2.354	0	0	3.4533	0	0	0	0	0.1326	0.2418	0.2907	2.4631	-0.2166	156.8306
Gatifloxacin	1	10.5363	0	0.0798	1	0	4	20.28	17.9387	15.1023	4.3107	0	3.4792	0	1.3703	0.5615	0	0	3.3191	0	3.6897	0	0	0.1319	0.2532	0.3708	7.4586	0.6252	148.7358
Phenylephrine	1	3.5257	0	0.0278	0	0	2	10.0833	9.1901	0	2.4343	0	1.7699	0	0	0.9093	0	0	2.8538	0	0	0	0	0.1348	0.2256	0.3421	1.8051	-0.2798	86.3587
Clarithromycin	1	20.3022	0	0.0599	0	0	14	46.3827	45.2111	0	0	0	20.9275	0	0	0	0	0	0	1.8599	0	0	0	0.1386	0.236	0.3494	2.7525	-0.6617	274.9903
Epinephrine	1	4.1875	0	0.0241	0	0	3	11.0769	10.1429	0	2.2258	0	1.7257	0	0	0.1784	0	0	2.8059	0	0	0	0	0.1322	0.2413	0.3419	2.9094	-0.2576	94.8479
Ephedrine	1	3.9349	0	0.0321	0	0	1	10.0833	9.2298	0	2.9284	0	3.8001	0	0	0.9577	0	0	3.0132	0	0	0	0	0.1384	0.2088	0.3378	1.19	-0.394	88.7169
Erythromycin	1	19.6629	0	0.0599	0	0	13	45.3898	44.2582	0	0	0	21.5076	0	0	0	0	0	0	1.8833	0	0	0	0.1379	0.2152	0.3502	1.9977	-0.7272	268.2159
Voriconazole	1	9.3421	0	0.0375	3	0	1	19.7531	17.0274	41.6721	0	0	1.4773	0	2.5582	-3.0137	0	0	0	0	1.2623	0	0	0.1049	0.2201	0.3241	4.632	0.7899	193.6836
Maprotiline	1	8.4045	0	0.1458	0	0	0	14.5833	13.0901	0	3.9396	0	2.0529	0	0	6.3944	0	0	3.3093	0	0	0	0	0.1319	0.1457	0.2901	1.6196	-0.3442	140.2447
Procainamide	1	5.2918	0	0.0278	0	0	1	15.0588	13.5147	0	0	0	4.2327	0	0	1.3226	0	5.5643	0	2.2671	0	0	0	0.1302	0.2297	0.4289	4.6068	-0.2247	112.9836
Norepinephrine	1	4.0874	0	0.0241	0	0	3	10.0833	9.1504	0	0	0	0	0	0	0.0378	0	0	0	0	0	0	0	0.1322	0.2413	0.3544	2.7999	-0.2567	88.0512
Risperidone	1	11.8533	0	0.157	1	0	2	21.8253	19.5756	13.3915	0	0	1.9692	0	0	3.5126	1.4323	0	0	2.4181	0	0	0	0.1364	0.1603	0.3843	6.8092	0.7202	173.5073
Orciprenaline	1	4.2191	0	0.0241	0	0	3	13.0667	12.1311	0	2.607	0	3.9577	0	0	0.4054	0	0	3.0694	0	0	0	0	0.1338	0.2261	0.338	1.3239	-0.1694	98.8927
Tamoxifen	1	9.2449	0	0.0919	0	0	1	22.68	20.0646	0	0	0	6.3358	0	0	4.641	0	0	0	2.123	0	0	0	0.1321	0.1425	0.2342	1.3609	-0.4115	213.0337
Amiodarone	1	11.0067	0	0.0486	0	2	3	25.6198	24.825	4.5377	0	0	6.4636	0	0	4.9273	1.6675	0	0	2.3328	0	0	0	0.1351	0.153	0.26	3.3916	0.6716	191.4906
Azithromycin	1	19.6342	0	0.0599	0	0	12	46.3827	45.5387	0	0	0	24.7126	0	0	0	0	0	0	3.8467	0	0	0	0.1354	0.2181	0.3468	3.5215	-0.9144	270.6568
Chlorzoxazone	-1	3.8123	0	0.0241	0	0	2	7.6389	6.6378	5.6642	0	0	0	0	0	0.1221	1.1545	0	0	0	0	0	5.6642	0.1399	0.2863	0.3184	3.3256	0.5304	100.9005
Dextromethorphan	-1	8.4514	0	0.163	0	0	1	13.6484	12.8488	0	0	0	4.1208	0	0	4.2558	0	0	0	2.6264	0	0	0	0.1316	0.1474	0.2282	1.9815	-0.4488	111.705
Amobarbital	-1	5.3201	0	0.0156	0	0	3	14.0625	12.6784	0	0	0	5.8567	0	0	0	0	0	0	0	0	0	0	0.1561	0.2841	0.378	1.2496	0.2418	93.6033
Oxiconazole	-1	8.9732	0	0.0481	0	0	1	20.727	19.2085	24.367	0	0	0	0	5.2086	3.6384	0	0	0	0	1.8635	0	24.367	0.135	0.1978	0.2398	2.6268	0.959	257.6783
Cefuroxime	-1	10.0732	0.0745	0.0559	0	0	8	23.6587	20.727	0	0	0	1.253	0	0	0.1401	0	0	0	0	0	1.2128	0	0.1373	0.2695	0.4294	1.4266	0.701	179.9678
Ciprofloxacin	-1	9.5395	0	0.0929	1	0	3	17.4156	15.1373	14.6077	4.0025	0	0	0	1.4069	0.7434	0	0	3.2252	0	3.7812	0	0	0.133	0.2541	0.4	9.1154	0.6417	135.542
Perindopril	-1	8.7753	0	0.0833	0	0	5	22.2908	20.9953	0	4.9797	0	5.4242	0	0	0	0	0	3.0754	0	0	0	0	0.1398	0.2524	0.3744	5.0675	-0.9306	153.2767
Glibenclamide	-1	11.1243	0	0.1539	0	0	5	27.5853	24.8839	5.9648	0	0	1.4763	0	0	2.0194	0	0	0	0	0	0	5.9648	0.1369	0.2467	0.8792	8.3217	1.5844	239.2488
Econazole	-1	8.2953	0	0.0518	0	0	1	18.7811	17.3078	18.279	0	0	0	0	5.3796	3.8239	0	0	0	0	1.9558	0	18.279	0.134	0.2003	0.2634	4.2841	0.7154	238.5105
Clofazimine	-1	12.1652	0	0.1167	0	0	0	24.6837	21.5028	12.2389	0	0	4.1432	0	4.1584	5.2682	0	0	0	0	2.2078	0	12.2389	0.1251	0.2534	0.3869	3.9992	1.2056	256.3622
Methyltestosterone	-1	9.944	0	0.1259	0	0	2	15.5232	14.9305	0	0	0	6.8465	0	1.9845	0	0	0	0	0	0	0	0	0.1446	0.2062	0.3391	5.1568	-0.0415	115.4568
Azathioprine	-1	7.1406	0	0.0144	0	0	2	13.9592	11.592	0	0	0	1.6858	0	2.8933	1.6975	0	0	0	0	1.0503	1.1351	0	0.1342	0.2714	0.3339	7.0843	1.3879	129.2513
Crotamiton	-1	4.6741	0	0.0278	0	0	1	13.0667	11.5045	0	0	0	5.8456	0	3.3603	2.1114	0	0	0	0	0	0	0	0.1351	0.1536	0.3721	3.4771	-0.3259	110.7069
Amyl_nitrite	-1	1.4571	0	0	0	0	2	8	7.56	0	0	0	2.0916	0	0	0	0	0	0	0	0	0	0	0.1548	0.0969	0.3027	2.9353	0.3522	52.1392
Chlortalidone	-1	8.4	0	0.0518	0	0	4	16.8438	14.7062	5.8337	0	0	0	0	0	0.4215	0	5.109	0	0	0	0	5.8337	0.1458	0.2755	0.889	7.2023	1.6148	173.1297
Dicoumarol	-1	9.9923	0	0.0811	0	0	6	18.3673	15.6174	0	0	0	0	0	0	1.1765	0	0	0	0	0	0	0	0.1367	0.2281	0.2681	1.4938	0.7949	170.4227
Cefoxitin	-1	10.0063	0.0645	0.0559	0	0	7	22.68	20.6101	0	0	0	1.2749	0	0	0.8201	0	0	0	0	0	1.1938	0	0.1348	0.2642	0.4318	6.4503	0.5159	164.448
Floxuridine	-1	6.3045	0	0.0161	1	0	5	13.4321	11.9604	13.0179	0	0	0	0	0	-3.0502	0	0	0	0	0	0	0	0.1417	0.2891	0.3938	5.2497	0.4204	116.6894
Cefamandole	-1	11.8385	0.0745	0.088	0	0	5	24.1349	21.4905	0	0	0	1.6648	0	0	0.3961	0	0	3.7179	0	1.4594	2.5797	0	0.1201	0.2399	0.3687	5.0673	1.9814	211.975
Dicloxacillin	-1	11.6591	0.0745	0.0241	0	0	5	23.168	21.1731	12.4997	0	0	5.1013	0	0	1.4845	0	0	0	0	0	1.343	12.4997	0.1362	0.2578	0.3611	4.8113	0.4929	190.3774
Cerivastatin	-1	10.2438	0	0.0418	1	0	5	29.2318	26.7995	13.6828	0	0	9.7845	0	3.2868	4.7111	0	0	0	0	0	0	0	0.1377	0.254	0.3905	4.6928	-0.0414	211.6951
Delavirdine	-1	11.0117	0	0.0956	0	0	3	25.1037	21.8178	0	0	0	5.2892	0	1.7648	3.9273	0	0	0	0	2.1973	0	0	0.1317	0.2596	0.8853	6.1326	1.5213	191.6315
Calcitonin	-1	13.6441	0	0	0	0	11	46	42.34	0	0	0	4.531	0	0	0	0	0	0	0	0	0	0	0.1329	0.2863	0.4282	10.8764	-0.1437	305.7425
Cinoxacin	-1	7.4281	0	0.0333	0	0	5	13.9592	11.8188	0	0	0	1.8126	0	0	1.7583	0	0	0	0	1.4605	0	0	0.1329	0.2549	0.321	5.4565	0.9953	110.3387
Colestipol	-1	2.7071	0	0	0	0	0	13	12.8	0	10.6158	0	0	0	0	0	0	0	9.715	0	0	0	0	0.14	0.1475	0.35	1.7387	-2.5605	86.903
Mesalazine	-1	3.3765	0	0.0241	0	0	3	9.0909	7.7141	0	0	0	0	0	0	-0.1279	0	5.2908	0	0	0	0	0	0.1269	0.2647	0.4365	1.5905	0.3507	75.5503
Dantrolene	-1	8.2375	0	0.0278	0	0	5	17.8112	14.6008	0	0	0	0	0	1.3126	1.5462	0	0	0	0	0.5028	0	0	0.1403	0.2854	0.3761	6.5331	1.7431	169.9863
Paromomycin	-1	17.0278	0	0.0977	0	0	14	34.8652	34.1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1397	0.2261	0.3557	3.0201	-1.5586	238.9321
Bicalutamide	-1	9.792	0	0.0518	4	0	4	25.2622	22.1919	51.9636	0	0	0.8727	0	0	-3.3771	0	0	0	0	0	0	0	0.1487	0.2559	0.8907	3.4184	2.0191	238.9964
Desonide	-1	12.9529	0	0.105	0	0	6	21.8253	20.5565	0	0	0	7.7875	0	5.3481	0	0	0	0	0	0	0	0	0.1435	0.2096	0.3335	7.9719	0.174	168.7631
Fludroxycortide	-1	13.3191	0	0.1094	1	0	6	22.7755	21.683	15.4796	0	0	7.4473	0	1.472	0	0	0	0	0	0	0	0	0.1459	0.2097	0.3276	8.4217	0.1139	173.425
Balsalazide	-1	8.3432	0	0.0518	0	0	6	22.2908	18.9022	0	0	0	0	0	0	0.3652	0	0	0	0	0	0	0	0.1377	0.2797	0.4035	5.4885	0.9818	179.6925
Mafenide	-1	3.6488	0	0.0278	0	0	2	10.0833	8.8926	0	0	0	0	0	0	0.9881	0	4.8893	0	0	0	0	0	0.1457	0.2037	0.9068	6.0823	1.4272	98.0368
Flutamide	-1	5.8242	0	0.0241	3	0	3	17.0526	14.9392	38.0027	0	0	3.1496	0	0	-2.5641	0	0	0	0	-1.1142	0	0	0.1533	0.2483	0.3552	8.3999	1.5519	157.0806
Halcinonide	-1	14.0215	0	0.1062	1	0	5	22.7755	21.9961	23.2544	0	0	7.3844	0	1.6093	0	0	0	0	0	0	0	6.0467	0.1454	0.2042	0.3148	7.5216	-0.0045	191.3344
Nevirapine	-1	8.1688	0	0.0402	0	0	1	13.6484	11.4011	0	0	0	1.9814	0	0	3.9339	0	0	0	0	2.1067	0	0	0.1277	0.2587	0.3861	1.7273	0.6505	104.9579
Fluoxymesterone	-1	11.2558	0	0.1062	1	0	3	17.4156	16.7136	16.6346	0	0	5.7937	0	1.6452	0	0	0	0	0	0	0	0	0.1441	0.2076	0.3354	7.5684	-0.1077	131.2043
Lansoprazole	-1	8.6589	0	0.0464	3	0	2	19.7531	17.4336	36.9141	0	0	1.5872	0	0	2.3557	0	0	0	0	0	0	0	0.1353	0.2519	0.6663	5.4074	0.6215	193.6123
Mepenzolate_bromide	-1	9.0256	0	0.1287	0	0	3	19.7531	17.8015	0	0	0	4.2789	0	0	1.0477	0	0	0	0	0	0	0	0.0608	0.2255	0.3421	2.8003	-0.2034	171.5311
Liothyronine	-1	8.0275	0	0.0449	0	3	4	19.3264	19.4645	6.3286	0	0	0	0	0	4.8098	0	0	0	0	0	0	0	0.136	0.2533	0.3441	2.5081	0.6818	137.0552
Fluocinonide	-1	14.9593	0	0.0875	2	0	7	26.6009	24.8655	32.8668	0	0	7.8212	0	3.7465	0	0	0	0	0	0	0	0	0.1497	0.2217	0.3354	6.9714	0.9608	224.4944
Dicycloverine	-1	7.5883	0	0.1905	0	0	2	18.3403	17.9363	0	0	0	4.3253	0	0	0	0	0	0	2.3209	0	0	0	0.1405	0.1086	0.3603	2.5405	-1.421	120.8413
Metaxalone	-1	5.0627	0	0.0241	0	0	3	12.4567	11.1061	0	0	0	4.0496	0	0	3.1468	0	0	0	0	0	0	0	0.1387	0.2799	0.4297	6.1022	-0.1665	110.0413
Anisindione	-1	7.4529	0	0.0556	0	0	3	13.9592	11.8093	0	0	0	1.5801	0	0	2.4656	0	0	0	0	0	0	0	0.1348	0.1504	0.2514	3.4058	0.9873	142.7985
Disulfiram	-1	4.7843	0	0	0	0	0	16	17.32	0	0	0	8.4593	0	0	0	0	0	0	4.3291	0	3.1841	0	0.1263	0.1376	0.3237	2.4042	2.3595	136.1244
Acarbose	-1	16.3875	0	0.0845	0	0	17	36.468	35.2116	0	0.7264	0	1.4596	0	1.2772	0	0	0	2.8112	0	0	0	0	0.1397	0.2406	0.3574	2.6281	-0.5649	239.4547
Dexrazoxane	-1	6.001	0	0.0559	0	0	4	15.39	13.6275	0	0	0	1.864	0	0	0	0	0	0	3.4454	0	0	0	0.1491	0.2576	0.3382	2.188	0.0476	113.9536
Budesonide	-1	13.324	0	0.105	0	0	6	22.7755	21.5028	0	0	0	6.2565	0	5.3697	0	0	0	0	0	0	0	0	0.1435	0.2099	0.334	8.0739	0.1667	172.443
Hydroquinone	-1	2.3045	0	0.0278	0	0	2	6.125	5.2801	0	0	0	0	0	0	0.3385	0	0	0	0	0	0	0	0.1316	0.224	0.2602	2.2799	-0.1838	59.0357
Amifostine	-1	2.2803	0	0	0	0	3	12	12.29	0	2.9722	0	0	0	0	0	0	0	3.0147	0	0	0.6645	0	0.1417	0.2664	1.0166	5.3267	1.546	100.3244
Clioquinol	-1	4.9222	0	0.0396	0	1	1	9.551	9.1762	8.002	0	0	0	0	0	1.5275	1.3347	0	0	0	0	0	5.9784	0.1339	0.236	0.3253	1.5968	1.1323	106.1756
Benazepril	-1	10.4133	0	0.0599	0	0	5	25.6198	22.8072	0	5.2177	0	1.7442	0	0	2.6113	0	0	3.1799	0	0	0	0	0.1368	0.2518	0.3876	5.4766	0.0852	213.0819
Metirosine	-1	4.5132	0	0.0278	0	0	3	12.0714	10.8483	0	0	0	1.4605	0	0	0.9426	0	0	0	0	0	0	0	0.1353	0.2509	0.3661	3.2605	-0.2248	97.9597
Aztreonam	-1	9.8843	0.0745	0	0	0	8	24.2711	21.8358	0	0	0	3.6928	0	0	0.061	0	5.526	0	0	0	0	0	0.1325	0.3031	0.9092	4.4367	1.9339	176.5326
Irinotecan	-1	18.2012	0	0.2158	0	0	6	31.5918	28.3376	0	0	0	3.7475	0	0	3.9964	1.6028	0	0	2.5894	0	0	0	0.1352	0.2189	0.4079	10.8106	1.442	229.4044
